Renewable fuels,Year,Value
"Bagasse, wood",2019,"2,152.2"
Biogas,2019,"1,343.6"
Wind,2019,"17,712.0"
Hydro,2019,"15,967.3"
Large-scale solar PV,2019,"3,732.4"
Small-scale solar PV,2019,"11,116.2"
Geothermal,2019,
,2019,
"Bagasse, wood",2020,"1,989.8"
Biogas,2020,"1,361.9"
Wind,2020,"20,395.9"
Hydro,2020,"15,149.6"
Large-scale solar PV,2020,"7,136.1"
Small-scale solar PV,2020,"13,897.1"
Geothermal,2020,
,2020,
"Bagasse, wood",2021,"1,992.2"
Biogas,2021,"1,354.0"
Wind,2021,"24,535.4"
Hydro,2021,"15,199.7"
Large-scale solar PV,2021,"9,637.9"
Small-scale solar PV,2021,"18,079.1"
Geothermal,2021,
,2021,
"Bagasse, wood",2022,"1,817.5"
Biogas,2022,"1,372.8"
Wind,2022,"29,107.8"
Hydro,2022,"17,010.9"
Large-scale solar PV,2022,"12,569.2"
Small-scale solar PV,2022,"22,117.5"
Geothermal,2022,
,2022,
"Bagasse, wood",2023,"1,687.7"
Biogas,2023,"1,405.1"
Wind,2023,"31,384.9"
Hydro,2023,"16,666.1"
Large-scale solar PV,2023,"16,059.8"
Small-scale solar PV,2023,"25,908.7"
Geothermal,2023,
,2023,
